SMILES,Vina
CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CN(C6CC7=CNC8=CC=CC(=C78)C6=C5)C,-10.6
CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CN(C6CC7=CN(C8=CC=CC(=C78)C6=C5)C)C,-10
CCNC(=O)C1=CC2=C(N1)C(=O)N(C=C2C3=C(C=CC(=C3)C(C)(C)O)OC4=C(C=C(C=C4C)F)C)C,-9.9
CC1(C=COC2=C(O1)C=CC3=C2NCC34CC56CN7CCC(C7(CC5C4(C)C)C(=O)N6C)(C)O)C,-9.9
CC1=C2CC3C(=CC(CN3C)C(=O)NC4(C(=O)N5C(C(=O)N6CCCC6C5(O4)O)CC(C)C)C(C)C)C7=C2C(=CC=C7)N1,-9.9
CC1=C(C=C(C(=O)N1C2=CC=CC(=C2)C(F)(F)F)C(=O)NCC3=NC=C(C=C3)S(=O)(=O)C)C4=CC=NN4C,-9.8
CC1=C(C=C(C=C1)N2C(=O)C(C(=N2)C)N=NC3=CC=CC(=C3[O-])C4=CC(=CC=C4)C5=NNN=N5)C,-9.7
CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,-9.6
CC(CNCCNCC(C)N1C(=O)C2=CC=CC3=CC(=CC(=C32)C1=O)[N+](=O)[O-])N4C(=O)C5=CC=CC6=CC(=CC(=C65)C4=O)[N+](=O)[O-],-9.5
COC1=NN=C(C=C1)C(C2=C(C=C(C(=C2)C3=NC=NC4=C3C=CC(=C4)N5CCOCC5)F)Cl)O,-9.5
CC12CC(C3C(C1CCC2(C(=O)COC(=O)C4=CC(=CC=C4)S(=O)(=O)O)O)CCC5=CC(=O)C=CC35C)O,-9.5
CN1CCN(CC1)C2=CC(=C(C=C2)C(=O)NC3=NNC4=C3C=C(C=C4)CC5=CC(=CC(=C5)F)F)NC6CCOCC6,-9.4
CC1=C(N(C2=CC=CC=[N+]12)N=NN3C4=CC=CC=[N+]4C(=C3C5=CC=CC=C5)C)C6=CC=CC=C6,-9.4
C1CC1(C2=CC3=C(C=C2)OC(O3)(F)F)C(=O)NC4CC(OC5=C4C=CC(=C5)OC(F)F)C6=CC=C(C=C6)C(=O)O,-9.4
CC(C)CC(=O)NC1=CN=CC(=C1)C2=CC3=C(C=C2)NN=C3C4=NC5=C(N4)C=NC=C5C6=CC(=CC=C6)F,-9.4
C1C2C(C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F,-9.4
CC1=CSC(=C1)C2=NN=C(C3=CC=CC=C32)NC4=CC=C(C=C4)OC5=C(C=CC=N5)C6=NC(=NC=C6)N,-9.3
CC12CCC3C(C1CCC2OC(=O)C45CC6CC(C4)CC(C6)C5)CCC7=CC(=O)CCC37,-9.3
CC(C)N(CC1=CC=CC=C1)C(=O)CN2C3=CC=CC=C3N4C(=NN=C4C5=CC=CC=C5)C(C2=O)CC6=CNC7=CC=CC=C76,-9.3
CC(C(=NS(=O)(=O)C1=C(C=CC(=C1)C(=C(C2=NC3=CC=CC=C3N2)C(=O)C4=C(C=CC(=C4)F)F)O)F)N)O,-9.3
CC1=NC2=C(C3=C(C=CC(=C3)CNC4=CC5=C(C=C4)C(=O)N(C5)C(CCC(=O)O)C(=O)O)C=C2)C(=O)N1,-9.3
CN1C2=CN=C3C=CC(=CC3=C2N(C1=O)C4=CC(=C(C=C4)N5CCNCC5)C(F)(F)F)C6=CN=C(C=C6)OC,-9.2
CC1=C(C=CC=C1N2C(=O)C3=C(C(=CC=C3)F)N(C2=O)C)C4=C(C=C(C5=C4C6=C(N5)CC(CC6)C(C)(C)O)C(=O)N)F,-9.2
CC1=CC(=NN1)NC2=CC(=NC(=N2)C=CC3=CC=CC=C3)N4CCN(CC4)C,-9.2
CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC4=C(C=C(C=C4[O+]=C3C5=CC(=C(C=C5)O)O)O)O)O)O)O)O)O)O.[Cl-],-9.2
CC1=CN=C(C=N1)C(=O)NC2CCCCCC=CC3CC3(NC(=O)C4CC(CN4C2=O)OC5=NC6=CC=CC=C6C7=CC=CC=C75)C(=O)NS(=O)(=O)C8CC8,-9.2
CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6,-9.2
CN(C)CC1=NC=CN1C2=CC(=C(C=C2)NC(=O)C3=CC(=NN3C4=CC5=C(C=C4)ON=C5N)C(F)(F)F)F,-9.2
C1=CC=C(C(=C1)C2=NC3=CN(C=CC3=N2)CC4=NN=C(C=C4)C5=C(C=C(C=C5)C(F)(F)F)C(F)(F)F)F,-9.2
CC1=NN(C(=C1)C(=O)NC2=C(C=CC(=C2)NC3=CC4=C(C=C3)C(=NN4)C=CC5=CC=CC=N5)F)C,-9.1
CC(=O)C1(CC(C2=C(C1)C(=C3C(=C2O)C(=O)C4=CC=CC=C4C3=O)O)OC5CC(C(CO5)O)O)N,-9.1
CC1C(OC(=O)N1CC2=C(C=CC(=C2)C(F)(F)F)C3=CC(=C(C=C3OC)F)C(C)C)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F,-9.1
CCC(C)C1CN2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CC5C(CC6=CNC7=CC=CC5=C67)N(C4)C)O,-9.1
CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)NCN5CCN(CC5)C(=N)N=C(N)N)N(C)C)O,-9.1
C1CN(CCC1N2CC(C2)(CC#N)N3C=C(C=N3)C4=C5C=CNC5=NC=N4)C(=O)C6=C(C(=NC=C6)C(F)(F)F)F,-9.1
CC(=O)C1=CC=C(C=C1)C2CC3(C(CCC3(C(C(F)(F)F)(F)F)O)C4C2=C5CCC(=O)C=C5CC4)C,-9.1
CC1=C(N=C(C=C1)NC(=O)C2(CC2)C3=CC4=C(C=C3)OC(O4)(F)F)C5=CC(=CC=C5)C(=O)O,-9.1
CC(C)(C)C1=NN(C(=C1)NC(=O)NC2=C(C=C(C=C2)OC3=CC(=NC=C3)C(=O)NC)F)C4=CC5=C(C=C4)N=CC=C5,-9.1
CN(C)CC1CCN2C=C(C3=CC=CC=C32)C4=C(C5=CN(CCO1)C6=CC=CC=C65)C(=O)NC4=O,-9.1
CN1CCC(CC1)COC2=CN=C(N=C2)C3=CC=CC(=C3)CN4C(=O)C=CC(=N4)C5=CC=CC(=C5)C#N,-9.1
CNC(=O)C1=C(C=C(C=C1)C2=NN3C(=CN=C3N=C2)CC4=CC5=C(C=C4)N=CC=C5)F,-9
CN1CCN(CC1)CN2C(=O)C3=C(C2=O)C4=C(C5=C3CCC5)NC6=C4C(=CC=C6)OC,-9
CN1C2=C(C=C(C=C2)N3C=C(C(=O)N(C3=O)C4CCC5=C4C=CC=C5C(F)(F)F)C(=O)O)OC1=O,-9
CN1C=C(C=N1)C2=NN3C(=NN=C3C(C4=CC5=C(C=C4)N=CC=C5)(F)F)C=C2,-9
C1CN(C(CN1CC(=O)NC2=C(C=CC=C2Cl)Cl)C(=O)N)CCCC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,-9
C1C2C(C2NCC3=NC4=C(C=C3)C=C(C=C4)F)CN1C5=NC=C(C=N5)C(=O)NO,-9
CC1=NN=C(O1)C(=O)NC(C)(C)C2=NC(=C(C(=O)N2C)O)C(=O)NCC3=CC=C(C=C3)F,-9
C1=CC=C(C=C1)C2=NC(C(=O)NC3=CC=CC=C32)NC(=O)NC4=CC=CC=C4F,-9
CCC(C1=NN=C(O1)NCC2=CC3=C(C=C2)C(=CC(=O)O3)C4=CC=C(C=C4)F)(C(F)(F)F)O,-9
CN1CCN(CC1)C(=O)OC2C3=C(C(=O)N2C4=NC5=C(C=C4)C=CC(=N5)Cl)SCCS3,-9
CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OC4C5=CC=CC=C5C(=O)O4,-9
CN1C2=CC=CC=C2C(=NC(C1=O)NC(=O)C3=CC4=C5N3CCCC5=CC=C4)C6=CC=CC=C6,-9
CC1CC(CN(C1)S(=O)(=O)C2=CC3=C(C=C2)C(=C4C=CC(=CC4=C3N=O)S(=O)(=O)N5CC(CC(C5)C)C)NO)C,-9
CC1=C(C=CC(=C1)NC2=NC=NC3=C2C=C(C=C3)NC4=NC(CO4)(C)C)OC5=CC6=NC=NN6C=C5,-9
CC12CC(C3=C4CCC(=O)C=C4CCC3C1CCC2(C(C(F)(F)F)(F)F)O)C5=CC=C(C=C5)S(=O)(=O)C,-9
CC1=NN=NN1N=CC2=CC(=C(C=C2)O)C(C3=CC=C(C=C3)O)C4=C(C=CC(=C4)C=NN5C(=NN=N5)C)O,-9
CN1C=C(C2=CC3=C(C=C21)OCO3)C4=C(C(=O)NC4=O)C5=COC6=C5C=C(C=C6)F,-8.9
CC1=C(C(=CC=C1)F)C(=O)N2CCCC(C2C3=CC=C(C=C3)NC4CCCC4)C(=O)NC5=CC(=C(C=C5)C)C(F)(F)F,-8.9
C1CC2CN(CCN2C1)CCC(=O)N3C4=CC=CC=C4SC5=C3C=C(C=C5)C(F)(F)F,-8.9
CC1=CC=CC=C1C2=CC(=NC=C2N(C)C(=O)C(C)(C)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)N4CCOCC4,-8.9
C1CC1C(=O)NCC2=C3C(=CC=C2)C(=O)N(C3=O)C4CCC(=O)NC4=O,-8.9
CC(C)CN1C2=C(C=C(C=C2)NC3=NC=CC=N3)C4=C1C5=C(C6=CN(N=C6CC5)C)C7=C4CNC7=O,-8.9
CC1=C(C=CC2=C1N=C(C=C2OC3CC4C(=O)NC5(CC5C=CCCCCCC(C(=O)N4C3)CC(=O)N6CCCC(C6)(F)F)C(=O)NS(=O)(=O)C7CC7)C8=NC(=CS8)C(C)C)OC,-8.9
CC1=C(C=C(C=C1)N2C(=O)C(=C(N2)C)N=NC3=CC=CC(=C3O)C4=CC(=CC=C4)C(=O)O)C,-8.9
CCC(C)C1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CC5C(CC6=CNC7=CC=CC5=C67)N(C4)C)O,-8.9
CC1=CC(=CC2=C(C(=CN=C12)C(=O)N)NC3=CC(=CC=C3)OC)S(=O)(=O)C4=CC=CC(=C4)C(=O)N(C)C,-8.9
